Track Name,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Valence
Back To Black,0.134,0.403,0.422,2.05e-05,0.0861,0.0373,122.728,0.378
Impossible (Orchestral Version) [Live at Abbey Road],0.0593,0.383,0.647,5.31e-06,0.0987,0.0365,82.963,0.112
Sympathy For The Devil,0.61,0.728,0.681,0,0.0559,0.221,115.944,0.578
With Or Without You - Remastered,0.000202,0.54,0.429,0.355,0.141,0.0285,110.171,0.113
"Another Brick in the Wall, Pt. 2",0.0782,0.693,0.394,0.000694,0.247,0.0428,104.114,0.721
Somebody To Love - Remastered 2011,0.19,0.497,0.693,0,0.215,0.0565,111.539,0.358
Sorry,0.502,0.461,0.409,0,0.0979,0.0315,133.956,0.0895
Brabant,0.561,0.407,0.466,0.00894,0.103,0.0311,81.568,0.387
Another Love,0.695,0.445,0.537,1.65e-05,0.0944,0.04,122.769,0.131
Let It Be - Remastered 2009,0.631,0.443,0.403,0,0.111,0.0322,143.462,0.41
Under the Bridge,0.0576,0.559,0.345,0.000105,0.141,0.0459,84.581,0.458
Old and Wise,0.727,0.375,0.317,2.92e-05,0.123,0.0315,112.003,0.12
Dreams - 2004 Remaster,0.0644,0.828,0.492,0.00428,0.128,0.0276,120.151,0.789
Clocks,0.599,0.577,0.749,0.0115,0.183,0.0279,130.97,0.255
Angels,0.156,0.429,0.594,4.95e-06,0.1,0.0277,150.22,0.236
Pastorale - Remastered,0.646,0.463,0.523,0,0.283,0.0272,111.838,0.346
Songbird - 2004 Remaster,0.982,0.58,0.0842,0.00126,0.11,0.0302,92.123,0.388
Here Comes The Sun - Remastered 2009,0.0339,0.557,0.54,0.00248,0.179,0.0347,129.171,0.394
One,0.245,0.392,0.534,0.00104,0.155,0.0369,181.305,0.325
Deutschland,5.54e-05,0.521,0.895,0.349,0.0985,0.0442,120.117,0.237
Gimme Shelter,0.447,0.634,0.63,0.039,0.17,0.031,118.628,0.489
Suspicious Minds,0.0422,0.487,0.382,4.74e-06,0.411,0.0309,116.557,0.714
Du hast,0.00369,0.64,0.922,0.055,0.332,0.0385,125.105,0.716
Private Investigations,0.699,0.551,0.101,0.542,0.0811,0.0309,84.407,0.0691
Whole Lotta Rosie,0.0014,0.292,0.838,0.479,0.0953,0.078,159.176,0.423
